代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
688729,N屹唐,21.41,153.37,12.96,100.61万,21.00亿,83.91,26.2,19.11,26.2,8.45,-,50.36,72.71,7.46
688202,美迪西,45.3,20.0,7.55,13.05万,5.55亿,20.45,45.3,37.58,37.9,37.75,6.86,9.69,-104.85,2.87
301658,首航新能,36.0,20.0,6.0,13.56万,4.54亿,20.7,36.0,29.79,29.8,30.0,3.96,35.03,70.71,4.26
301526,国际复材,5.04,20.0,0.84,257.14万,12.10亿,22.86,5.04,4.08,4.12,4.2,4.25,18.31,90.2,2.37
301176,逸豪新材,37.93,19.99,6.32,22.97万,8.03亿,18.41,37.93,32.11,32.11,31.61,1.99,40.76,-1040.94,4.18
301123,奕东电子,27.25,19.99,4.54,20.14万,5.25亿,20.92,27.25,22.5,22.71,22.71,11.49,21.85,-307.5,2.24
300930,屹通新材,33.92,19.99,5.65,10.97万,3.48亿,20.37,33.92,28.16,28.32,28.27,5.2,23.28,61.98,3.83
300505,川金诺,21.25,16.82,3.06,70.44万,14.83亿,9.95,21.83,20.02,20.02,18.19,11.61,32.41,20.27,2.31
300872,天阳科技,27.35,15.84,3.74,111.24万,28.53亿,21.39,28.18,23.13,23.74,23.61,3.61,27.29,126.52,3.62
301258,富士莱,36.98,12.99,4.25,12.84万,4.86亿,19.95,39.28,32.75,32.75,32.73,7.13,37.92,35.41,1.78
301030,仕净科技,19.24,11.21,1.94,19.88万,3.66亿,11.21,19.5,17.56,17.88,17.3,5.9,12.32,18.41,3.49
688303,大全能源,26.3,10.88,2.58,22.02万,5.45亿,14.67,26.56,23.08,23.59,23.72,1.91,3.98,-25.28,1.42
688170,德龙激光,29.09,10.31,2.72,8.22万,2.32亿,11.95,29.16,26.01,26.01,26.37,2.93,7.95,-45.64,2.47
301217,铜冠铜箔,16.48,10.23,1.53,68.83万,11.13亿,18.73,17.3,14.5,14.86,14.95,3.75,30.06,718.83,2.54
600545,卓郎智能,2.5,10.13,0.23,105.30万,2.58亿,11.01,2.5,2.25,2.27,2.27,10.43,5.89,-11.68,1.44
002263,大东南,4.57,10.12,0.42,434.50万,18.92亿,9.88,4.57,4.16,4.22,4.15,1.55,23.13,460.64,3.11
000514,渝 开 发,5.67,10.1,0.52,92.56万,5.17亿,5.44,5.67,5.39,5.66,5.15,7.36,10.97,6.66,1.26
600537,亿晶光电,3.61,10.06,0.33,183.51万,6.22亿,10.98,3.61,3.25,3.34,3.28,2.39,15.5,-20.1,11.06
002218,拓日新能,3.72,10.06,0.34,56.38万,2.04亿,11.54,3.72,3.33,3.35,3.38,3.77,4.05,-32.2,1.27
